cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
166040,0,23,0,0,1,0,?,0,0,1,?,5,?,1,0,?,0,5,3,2,1,13,?,14,0,4,?,?,7,0
146165,5,23,13,0,1,0,?,?,0,?,0,1,?,1,13,?,?,5,3,0,0,13,0,0,0,4,?,3,7,23
133596,0,23,0,8,?,?,?,6,0,1,11,?,?,1,0,?,20,5,3,0,?,?,0,0,28,0,?,?,?,10
174265,4,23,0,12,1,0,?,0,?,0,?,?,?,?,0,?,?,5,3,2,0,13,0,0,22,0,?,3,7,31
166960,4,23,0,5,1,0,?,6,?,0,19,?,?,?,13,?,9,5,?,2,0,?,0,?,?,0,?,3,7,31
149806,4,23,7,3,1,0,?,6,?,0,?,0,?,?,7,?,0,?,?,?,?,13,5,0,27,?,?,?,7,31
260336,3,?,0,?,?,1,?,7,?,0,0,7,?,1,?,?,3,5,?,0,?,13,?,5,?,0,?,?,?,?
165384,6,?,0,?,?,?,?,16,?,0,0,15,?,1,0,?,3,5,?,2,0,?,6,24,?,0,?,?,7,?
230611,0,?,0,0,?,0,?,?,?,0,?,1,?,1,0,?,3,5,?,2,0,?,0,0,?,4,?,3,?,25
147889,0,23,0,17,1,?,0,28,2,0,0,4,?,?,0,?,0,2,3,0,1,?,?,27,0,6,?,3,20,3
214099,0,23,23,0,0,0,?,?,1,0,0,0,0,?,0,?,9,7,?,2,1,0,0,0,?,?,?,1,?,23
256009,0,23,?,0,?,19,0,8,2,0,11,0,0,1,?,?,25,7,3,?,1,0,?,0,29,6,?,1,0,14
228338,?,23,5,0,?,0,11,0,0,0,?,?,0,?,3,?,1,8,3,?,?,12,?,0,0,6,?,0,25,3
161358,0,?,5,0,1,0,?,6,0,1,?,0,?,1,0,?,1,8,3,0,?,12,0,11,?,6,?,0,34,0
232356,0,23,5,0,1,0,0,0,2,0,?,0,5,1,7,?,1,?,?,?,1,12,10,0,?,6,?,0,0,23
195817,4,23,5,0,1,0,24,0,2,0,?,0,5,1,0,?,1,8,?,0,0,?,0,?,0,6,?,0,0,0
197096,3,23,0,0,1,?,0,?,1,0,?,?,?,1,?,?,0,5,3,0,1,12,0,5,0,6,?,0,19,?
194094,0,23,0,0,?,?,0,30,0,0,0,0,?,1,2,?,0,7,3,?,?,12,?,0,0,6,?,0,34,?
213145,0,23,5,6,1,?,?,30,0,?,?,?,?,1,0,?,0,?,3,2,1,8,0,0,1,?,?,3,?,3
211801,0,23,0,6,1,?,?,0,0,?,0,3,?,1,0,?,0,8,3,0,1,0,?,0,1,?,?,3,0,0
239175,3,23,0,17,1,?,?,?,0,?,?,0,?,?,0,?,16,15,3,0,1,13,?,0,1,6,?,3,0,14
155825,3,?,0,0,0,0,?,0,0,?,0,?,?,1,1,?,0,15,3,0,1,0,14,1,1,6,?,3,0,0
216399,3,23,?,6,0,0,0,6,0,?,0,0,?,1,0,?,0,0,3,0,1,0,14,11,1,6,?,3,0,?
166562,0,?,11,?,?,0,?,?,0,?,0,2,?,1,?,?,0,19,3,0,1,8,14,12,1,?,?,3,2,0
141966,3,23,5,0,?,0,?,0,?,1,?,?,19,1,0,?,25,2,?,2,0,0,1,0,1,6,?,?,?,?
214851,6,23,0,0,0,0,?,31,0,1,0,?,0,1,14,2,20,0,3,?,0,0,0,27,?,?,?,1,?,?
177287,0,23,0,0,1,0,39,11,0,1,0,2,0,1,0,?,?,?,?,0,?,0,3,27,21,8,?,1,?,0
156127,0,23,11,7,0,0,39,?,0,1,0,2,3,1,0,2,0,?,3,0,0,0,?,2,21,8,?,1,?,0
153107,3,23,13,13,1,0,?,0,0,1,?,2,0,1,?,2,9,0,?,0,0,7,0,0,0,8,?,1,?,13
217731,0,?,13,0,0,1,?,?,1,1,?,2,0,1,0,2,0,0,3,0,0,?,0,0,0,8,?,1,?,2
168040,0,23,?,0,?,34,39,0,0,1,3,2,0,1,13,2,0,?,3,4,0,0,0,19,?,8,?,1,0,0
125145,4,23,8,0,0,40,39,?,0,1,?,2,0,1,9,2,25,0,?,0,0,?,0,0,0,8,?,1,0,?
208679,1,23,0,6,1,15,39,14,0,1,0,2,3,1,0,2,0,20,3,0,0,0,7,27,?,8,?,1,0,?
222328,?,23,14,?,0,7,39,0,0,0,8,2,0,?,0,?,15,?,3,0,0,13,2,0,11,0,?,1,?,0
162841,?,23,0,0,0,0,39,0,?,0,0,?,0,1,0,2,20,0,?,2,?,0,0,0,?,4,?,1,6,13
148734,0,23,15,0,0,0,?,0,2,0,11,2,?,1,0,2,24,0,?,0,1,3,0,20,1,?,?,?,0,13
213743,3,?,0,13,1,0,39,?,1,1,0,2,13,1,?,?,0,?,3,?,?,13,9,0,0,0,?,1,29,14
169708,0,?,11,?,1,1,39,?,?,0,0,2,13,?,1,2,0,20,3,0,0,0,?,0,0,4,?,1,17,14
170349,?,23,0,6,1,0,39,0,1,0,0,?,13,1,9,2,0,0,3,0,0,5,0,0,0,1,?,1,17,14
178163,0,23,0,?,?,34,39,16,1,0,?,2,13,1,9,?,?,0,3,0,1,0,?,0,0,0,?,1,17,14
243934,0,23,?,?,1,34,?,0,1,0,0,2,13,1,9,2,23,?,3,0,0,0,?,25,0,0,?,1,17,14
157708,0,23,?,0,1,19,37,?,0,0,19,2,?,1,0,2,0,0,?,?,1,0,10,6,?,0,?,?,?,3
143983,0,23,20,?,0,19,37,0,0,1,0,2,?,1,0,?,0,?,3,?,1,0,10,6,0,1,?,1,?,0
188788,?,23,13,6,1,?,0,0,0,?,0,2,31,1,5,2,?,0,?,2,1,8,?,6,0,0,?,1,0,?
234055,0,23,0,7,1,0,15,11,1,?,3,2,31,1,?,2,0,0,3,2,0,13,10,6,14,0,?,?,0,18
225720,3,23,?,?,1,33,0,0,1,0,?,?,?,1,0,2,0,0,?,2,?,?,0,?,0,0,?,1,6,0
202761,0,23,20,0,1,?,?,9,1,1,0,2,0,1,?,?,20,0,3,2,1,0,9,0,?,?,?,?,2,0
249093,0,23,13,11,0,0,0,0,1,?,0,?,?,1,0,2,0,14,3,2,1,0,0,0,0,0,?,?,2,0
150414,0,?,7,13,1,32,0,?,1,?,0,2,0,1,0,2,0,?,3,2,?,?,?,0,0,0,?,1,2,18
234165,?,23,?,0,0,?,0,0,?,1,11,2,0,?,?,2,0,11,3,2,?,11,0,0,6,0,?,1,?,?
160932,6,23,13,0,0,0,0,0,0,1,?,2,0,1,?,2,0,0,?,2,1,?,0,31,4,12,?,1,?,0
217979,4,23,7,13,?,0,?,12,1,1,13,2,3,1,?,?,0,11,3,?,1,?,10,0,?,12,?,1,14,?
126489,4,23,0,?,0,0,0,12,0,1,13,2,?,?,5,2,11,5,3,2,?,6,0,4,0,?,?,?,?,0
172593,6,23,2,0,0,0,?,12,2,1,13,2,0,1,7,2,0,26,3,2,0,0,9,0,?,?,?,?,0,22
165056,4,23,?,6,1,11,0,0,1,1,0,2,0,1,7,2,?,?,3,0,1,0,0,14,0,12,?,?,?,0
184576,6,23,0,0,1,11,0,0,0,1,3,2,16,1,7,2,0,0,3,0,0,0,7,14,21,?,?,1,?,0
