cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
I79,0,0,4,0,0,s,0,0,0,0,5,3,0,0,0,s,0,0,21,0,1,0,2,0,10,2,22,0,1,0
I80,0,0,4,0,0,s,0,1,0,0,5,3,0,0,0,s,0,0,21,0,1,0,2,0,10,2,22,0,1,0
1343,0,0,4,0,0,s,0,1,10,0,5,3,d,0,d,s,0,2,d,d,1,0,2,0,10,2,22,d,1,0
1719,d,0,4,0,0,s,d,1,0,5,5,3,0,0,0,s,1,d,d,d,1,0,2,0,10,2,22,d,1,28
I83,0,0,4,0,0,s,0,0,0,0,5,3,0,0,0,s,0,2,21,0,1,0,2,0,10,2,22,0,1,0
I84,0,0,4,1,0,s,0,0,0,0,5,3,8,5,0,s,0,2,21,16,1,0,2,2,10,2,22,0,1,0
1111,0,d,4,1,d,s,0,d,10,0,d,3,d,5,2,s,0,2,21,16,1,0,2,2,10,2,22,0,1,0
1110,d,0,4,d,0,s,0,0,0,0,5,3,8,d,0,s,0,2,21,d,1,1,2,2,10,2,22,0,1,d
I85,0,0,4,0,0,s,0,7,0,5,5,3,3,0,0,s,0,2,21,0,1,0,2,0,10,2,22,0,1,0
1071,0,0,4,d,0,s,0,7,0,5,5,3,3,0,0,s,0,2,21,d,1,2,2,0,d,2,22,0,1,0
I86,0,0,4,0,0,s,0,7,0,5,5,3,3,0,0,s,0,2,21,0,1,0,2,0,10,2,22,0,1,0
2029,0,0,4,0,0,s,0,7,d,5,5,3,3,0,0,s,0,2,21,0,1,d,2,0,d,2,22,d,1,0
2028,0,0,4,d,d,s,d,7,0,5,5,3,d,0,0,s,0,d,21,0,1,0,2,0,10,2,d,0,1,0
I87,2,0,4,0,0,16,0,0,0,0,5,3,0,27,0,s,0,0,21,0,1,1,0,0,10,2,22,0,1,0
I88,2,0,4,0,1,16,0,0,0,0,5,3,0,27,2,s,0,0,21,0,1,1,0,0,10,2,22,0,1,0
I91,2,0,4,0,1,16,0,0,0,0,5,3,0,27,2,s,s,0,21,0,1,1,0,5,10,2,22,0,1,0
1299,2,0,4,0,1,16,0,0,0,0,5,3,0,27,2,s,s,d,21,0,1,d,0,5,10,2,22,0,1,0
1298,2,0,d,0,1,16,0,0,0,0,5,3,0,27,d,s,s,d,21,0,1,1,0,5,10,2,22,0,d,0
I92,2,0,4,0,1,16,0,0,0,0,5,3,0,27,2,s,0,0,21,0,1,1,0,0,10,2,22,0,1,0
1262,2,0,d,0,1,16,6,0,0,0,5,3,2,27,s,s,0,s,21,0,1,1,0,0,d,2,22,0,1,0
1376,2,0,4,0,1,16,0,d,0,0,5,3,0,27,2,s,1,0,21,0,1,1,0,0,10,2,22,0,1,0
I95,2,0,4,1,1,16,0,0,0,0,5,3,0,27,0,s,0,0,21,0,1,1,0,0,10,2,22,0,1,0
I96,2,0,4,1,1,16,0,0,0,0,5,3,0,27,0,s,0,0,21,0,1,1,0,0,10,2,22,0,1,0
1250,2,d,4,1,1,16,0,0,d,0,5,3,0,27,0,s,0,d,21,4,1,1,0,0,10,2,d,0,d,0
1078,2,0,4,1,1,16,0,0,10,0,5,3,0,27,0,s,0,0,21,5,d,1,0,0,10,2,d,0,1,0
I99,2,2,4,1,1,s,0,0,0,0,5,3,0,27,0,s,0,0,21,0,1,1,0,0,10,2,22,0,1,0
I100,2,2,4,1,1,s,0,0,0,5,5,3,0,27,0,s,0,0,21,0,1,1,0,s,10,2,22,2,1,0
1173,2,2,4,1,1,s,0,0,0,d,5,3,0,27,0,s,0,0,21,0,1,1,0,s,10,2,22,2,1,1
1172,2,2,4,1,1,s,0,0,0,5,5,3,0,27,0,s,0,0,21,0,d,d,0,s,10,2,22,2,1,0
1406,2,2,4,1,1,s,0,0,d,0,5,3,0,27,0,s,0,0,21,0,d,1,0,0,10,2,22,0,1,0
I102,0,0,4,0,0,16,27,0,0,0,5,3,0,17,0,s,0,0,21,0,1,0,0,0,10,0,22,0,1,0
I103,0,0,4,0,0,16,27,0,14,0,5,3,0,17,0,s,0,0,21,0,1,0,0,0,10,3,22,0,1,0
I104,0,0,4,0,0,16,27,0,14,0,5,3,0,17,0,s,0,0,21,0,1,0,0,0,10,3,22,0,1,0
I105,0,0,4,0,1,16,27,0,14,0,5,3,0,17,0,s,0,0,21,0,1,0,0,0,10,3,22,2,1,0
I106,0,0,4,0,1,16,27,0,14,0,5,3,7,17,0,s,0,0,21,0,1,1,2,0,10,3,22,2,1,0
1007,0,0,4,d,1,16,27,0,14,0,d,3,7,17,0,s,0,0,21,0,1,1,d,0,10,3,22,2,1,0
1973,d,0,4,0,1,16,27,0,d,0,5,3,7,d,d,s,d,0,21,d,1,1,2,0,10,3,22,2,1,0
I108,0,0,4,1,1,16,27,0,14,0,5,3,0,17,0,s,0,0,21,0,1,0,10,s,10,3,22,2,1,0
1059,0,d,4,d,1,d,27,0,14,0,5,3,0,17,0,s,0,0,21,22,1,0,10,s,10,3,22,2,1,0
1058,0,0,s,d,1,16,27,0,14,5,s,3,0,17,0,s,0,d,21,0,1,0,10,s,d,3,22,2,1,0
I109,0,0,4,0,0,16,27,0,14,0,5,3,3,17,0,s,0,0,21,0,1,0,0,0,10,3,22,0,1,0
I110,0,0,4,0,0,16,27,0,14,0,5,3,3,17,0,s,0,2,21,0,1,0,0,0,10,3,22,0,1,0
I111,0,0,4,0,0,16,27,5,14,0,5,3,3,17,0,s,0,2,21,0,1,0,0,0,10,3,22,2,1,0
1867,0,0,4,0,0,16,27,5,14,0,5,3,3,17,d,s,0,2,21,0,1,0,d,0,10,3,22,2,1,0
1866,0,0,4,0,0,16,d,5,14,0,5,3,3,17,0,s,d,2,21,d,1,0,0,0,10,3,22,2,1,0
1885,0,0,4,0,0,16,27,0,14,0,d,3,3,17,0,s,0,2,d,d,1,0,0,d,10,3,22,2,1,0
2044,0,0,4,0,d,16,27,0,14,0,5,d,3,17,0,s,d,0,d,7,1,0,1,0,10,3,22,0,1,0
I116,0,0,4,3,0,16,27,0,14,0,5,3,0,17,0,s,0,0,21,3,1,1,0,0,10,3,22,0,1,0
1098,0,2,d,3,d,16,27,6,14,0,5,3,0,17,0,s,0,0,21,d,1,1,2,d,10,3,22,0,1,0
I120,0,0,4,3,0,16,27,0,14,0,5,3,3,17,0,s,0,0,21,3,1,1,0,0,10,3,22,0,1,0
I121,0,2,4,3,0,16,27,0,14,0,5,3,3,17,0,s,0,0,21,3,s,1,0,0,10,3,22,0,1,0
1023,0,2,4,3,1,16,27,d,d,0,5,3,d,17,0,s,0,d,21,d,s,1,0,0,10,3,22,0,1,0
1022,2,2,4,3,0,16,27,0,14,0,d,d,d,17,0,s,0,0,21,3,s,1,0,d,10,d,22,0,1,d
1965,0,0,4,3,0,16,27,0,14,0,5,3,3,17,0,s,d,0,21,3,1,1,0,d,10,d,22,0,1,1
I124,0,0,4,0,0,16,27,0,0,0,5,3,0,17,0,s,0,0,21,0,1,0,0,0,10,0,22,0,1,0
I126,s,0,4,0,1,16,27,0,0,5,5,3,0,17,0,s,0,0,21,0,1,s,0,0,10,2,22,2,1,0
I127,s,1,4,0,1,16,27,0,0,5,5,3,0,17,2,s,0,0,21,0,1,s,0,0,10,2,22,2,1,0
1301,s,1,4,d,1,16,27,11,0,5,5,3,3,17,2,s,d,0,21,0,1,s,d,0,d,2,22,2,1,0
1300,s,1,4,0,1,16,27,0,0,5,5,3,0,17,d,s,0,0,d,0,1,s,2,0,d,2,22,2,1,0
I128,s,0,4,1,1,16,s,0,0,5,5,3,0,17,0,s,0,0,21,0,1,s,0,0,10,2,22,2,1,0
1133,s,d,4,1,1,16,s,0,0,5,5,3,0,d,2,s,d,0,21,0,1,s,0,0,10,2,22,2,1,0
1132,s,0,4,1,1,16,s,0,0,5,5,3,0,17,0,s,0,0,21,0,d,s,0,0,d,2,22,2,1,d
I132,0,0,4,0,0,16,27,0,0,0,5,3,0,17,0,s,0,1,21,0,1,0,0,2,10,0,22,0,1,0
1044,0,0,4,0,0,16,27,0,8,5,5,s,0,17,0,s,0,1,21,0,1,0,0,s,10,0,22,0,1,d
I136,0,0,4,0,0,16,27,0,0,0,5,3,0,17,2,s,1,1,21,0,1,0,0,2,10,0,22,0,1,0
1165,0,0,4,0,0,d,d,0,0,d,5,3,3,17,2,s,1,1,21,6,1,1,0,2,10,0,22,0,1,d
1080,0,0,4,0,d,16,27,0,0,0,5,3,0,17,2,s,1,1,21,3,1,d,0,2,10,2,22,0,1,21
I139,0,0,0,0,0,16,0,0,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,1,0
I140,0,0,s,0,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,1,0
I141,2,0,s,0,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,1,0
I142,2,0,s,0,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,s,1,0
I143,2,0,s,0,0,16,5,7,0,5,5,3,3,0,2,4,0,0,0,0,1,0,0,0,10,2,22,s,1,0
I144,2,0,s,0,0,16,5,7,0,5,5,3,3,0,2,4,0,0,10,0,1,0,0,0,10,2,22,s,1,0
1763,2,0,s,0,0,16,5,7,0,5,5,3,3,d,2,4,0,0,d,d,1,0,d,0,s,2,22,s,1,0
1785,2,0,s,0,0,16,5,7,s,5,d,3,3,0,2,4,0,0,10,0,1,d,0,0,10,2,22,s,d,0
I147,2,0,s,0,0,16,5,7,0,5,5,3,3,0,2,4,0,0,12,0,1,0,0,0,10,2,22,s,1,0
1893,2,0,s,0,0,16,5,7,0,5,5,3,3,0,2,4,0,0,12,d,1,0,0,0,d,2,22,s,1,0
I149,2,2,s,3,0,16,5,7,6,5,5,3,3,0,2,4,0,0,12,0,1,0,0,0,10,2,22,s,1,0
1805,2,2,s,3,0,16,5,d,6,5,5,3,d,d,2,4,0,0,12,0,1,d,0,d,10,2,22,s,1,0
1804,2,2,s,3,0,16,5,7,d,5,5,3,3,0,2,4,0,0,12,0,1,0,0,0,10,2,22,s,1,d
I150,2,0,s,0,0,16,5,7,0,0,5,3,3,0,1,4,0,0,0,0,1,0,0,0,10,2,22,s,1,0
I151,2,0,s,0,1,16,5,7,0,0,5,3,3,0,1,4,0,0,0,0,1,0,0,0,10,2,22,s,1,0
I152,2,0,s,0,1,s,5,7,0,0,5,3,3,0,1,4,0,0,0,0,1,0,0,0,10,2,22,s,1,0
1747,d,d,s,0,d,s,5,7,0,0,5,d,3,0,1,4,0,0,0,0,1,0,0,0,10,2,22,s,1,0
1746,2,0,s,d,1,s,5,7,0,0,5,3,d,d,1,d,0,0,0,0,d,0,0,d,10,2,22,s,d,0
988,2,0,s,0,1,16,5,7,0,0,5,3,3,0,1,4,0,2,d,0,1,0,0,0,10,2,22,s,1,0
1092,2,d,s,0,d,16,5,7,0,0,5,d,d,0,1,4,0,0,s,0,1,0,0,0,10,2,d,s,1,s
I154,2,0,s,3,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,1,0
I155,2,0,s,3,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,s,0
I156,2,0,s,3,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,s,0
I157,2,0,s,3,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,s,0
1743,2,0,s,3,0,d,5,7,0,0,5,3,3,d,0,d,0,0,0,0,1,0,d,0,10,0,22,2,s,0
1742,2,d,s,3,0,16,5,7,0,0,5,d,3,0,0,4,0,2,d,0,1,0,0,0,10,0,22,2,s,0
976,2,0,s,3,0,d,5,7,d,0,5,d,3,0,0,4,0,0,0,0,1,d,0,0,10,0,22,2,s,0
I158,2,0,s,3,0,16,5,7,0,0,5,3,3,0,0,4,0,0,6,20,1,0,s,0,10,0,22,2,s,0
I159,2,0,s,3,0,16,5,7,0,0,5,3,3,0,2,4,0,0,6,20,1,0,s,0,10,0,22,2,s,0
1579,d,d,s,3,0,16,5,d,d,d,5,3,3,0,d,4,0,0,6,20,1,0,s,0,10,0,22,2,s,0
1578,2,0,s,3,0,16,5,7,d,0,5,3,d,0,2,4,0,0,6,20,d,d,s,d,10,0,22,2,s,0
1724,d,d,s,3,0,16,5,7,0,0,5,3,d,0,2,4,0,0,6,s,d,0,s,0,10,d,22,2,s,d
I161,2,0,s,3,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,1,11
I162,2,0,s,3,0,16,5,7,0,0,5,3,3,0,0,4,0,2,0,0,1,1,0,0,10,0,22,2,1,11
I163,2,0,s,3,0,16,5,7,0,0,5,3,3,s,0,4,0,2,0,0,1,1,0,0,10,0,22,2,1,11
1365,2,0,s,3,0,16,5,7,d,0,5,3,3,s,0,4,0,2,0,d,1,1,d,s,10,0,22,2,1,11
1364,2,0,s,3,d,d,5,7,0,0,5,3,3,s,0,d,0,d,0,d,1,1,d,0,10,0,22,2,1,d
I164,2,0,s,3,0,16,5,7,0,5,5,3,3,0,0,4,0,2,0,0,1,1,0,0,10,0,22,2,1,11
1669,2,0,s,3,0,16,5,7,0,5,d,3,3,0,0,4,0,d,0,0,1,1,0,0,10,0,22,2,1,11
1668,2,0,s,3,0,16,5,7,0,5,5,3,3,0,0,d,0,2,0,d,1,1,0,0,d,0,22,2,1,11
1666,2,0,s,3,0,16,5,7,0,0,5,3,3,d,2,4,0,0,0,0,1,d,0,s,10,d,22,2,1,11
I168,0,0,s,0,0,16,5,7,0,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,1,0
I169,0,0,s,0,0,16,5,7,14,0,5,3,3,0,0,4,0,0,0,0,1,0,0,0,10,0,22,2,1,0
I170,0,0,s,0,1,16,5,7,14,1,5,3,3,0,0,4,0,0,21,0,1,0,0,0,10,0,22,2,1,0
1887,2,0,s,d,d,16,5,7,14,1,5,3,3,0,0,4,1,0,21,0,1,0,12,0,10,0,d,2,1,0
2008,0,0,s,0,1,16,5,7,14,s,d,3,3,0,0,4,d,d,21,0,1,0,15,7,10,0,22,2,1,13
I177,2,2,s,0,0,16,5,7,14,0,5,3,3,0,0,4,0,2,0,0,1,0,10,2,10,s,22,2,1,0
I178,2,2,s,1,0,16,5,7,14,0,5,3,3,0,0,4,0,2,0,0,1,0,s,2,10,s,22,2,1,0
1859,2,2,s,1,0,16,d,7,14,0,5,3,s,4,0,4,0,s,0,0,1,0,s,2,10,s,22,2,1,d
1878,2,2,s,1,0,d,5,7,14,0,5,3,3,0,d,4,0,2,0,0,1,s,s,2,10,s,22,2,1,0
I182,2,2,s,0,1,16,5,7,14,0,5,3,3,0,0,4,3,2,0,0,1,0,10,2,10,s,22,2,1,0
2043,2,2,s,0,1,d,5,7,14,d,5,3,3,0,0,4,3,2,0,0,1,0,10,2,10,s,22,2,1,0
2042,2,2,s,0,1,16,5,7,14,0,5,3,3,0,0,4,3,2,0,0,1,0,10,2,10,s,22,d,1,d
I183,0,0,s,0,0,16,5,7,0,5,5,3,3,0,0,4,0,2,0,0,1,0,0,0,10,1,22,2,1,0
I189,0,0,s,0,0,16,s,7,0,5,5,3,3,15,0,4,1,2,0,0,1,0,0,10,10,1,22,2,1,5
1765,0,0,s,0,0,d,s,7,0,5,5,3,3,15,0,4,d,2,0,0,1,0,0,10,10,d,22,2,1,5
1764,0,0,s,0,0,16,s,7,d,5,5,3,d,15,0,4,1,2,0,0,d,0,0,10,10,d,22,2,1,5
I191,0,0,s,1,0,16,5,7,0,5,5,3,3,0,0,4,0,2,22,0,1,0,0,0,10,1,22,2,1,0
1545,0,2,s,1,0,16,5,7,0,5,5,d,3,0,0,4,d,2,22,0,1,d,0,0,10,1,22,2,1,0
I195,0,0,s,1,0,16,5,7,0,5,5,3,3,0,0,4,0,2,22,0,1,0,0,0,10,1,22,2,1,0
I196,0,2,s,1,0,16,5,7,0,5,5,3,3,0,0,4,0,2,22,0,1,0,0,2,10,1,22,2,1,0
1537,0,2,s,1,0,16,5,7,d,5,d,3,3,0,s,4,0,2,d,d,1,0,11,2,10,1,22,2,1,5
1536,0,s,s,1,0,16,5,d,0,5,5,3,3,0,0,4,0,2,22,0,1,d,d,2,10,1,22,2,1,0
I197,0,0,s,1,1,16,5,7,0,5,5,3,3,0,0,4,1,2,22,0,1,0,0,0,10,1,22,s,1,41
1373,0,2,s,d,d,16,5,7,0,5,5,d,3,0,0,d,1,2,22,0,1,0,0,0,10,1,22,s,d,41
1372,0,0,s,1,1,16,5,7,0,5,5,3,s,0,0,4,1,2,22,0,1,0,d,0,10,1,22,s,1,41
I198,0,0,0,0,0,16,0,0,0,0,5,3,3,0,2,4,0,0,0,0,1,0,0,0,10,0,22,2,1,0
I199,0,0,0,0,0,16,0,8,0,0,5,3,3,0,2,4,0,2,0,0,1,0,0,0,10,0,22,2,1,0
I200,0,0,4,0,1,16,0,8,0,0,5,3,3,0,2,4,0,2,0,0,1,0,0,0,10,0,22,2,1,0
